-591	-207	-273	
-559	-319	-277	
-551	-503	-279	
-559	-575	-269	
-615	-703	-257	
-743	-767	-213	
-903	-871	-127	
-983	-919	-29	
-879	-935	77	
-823	-903	99	
-735	-919	123	
-735	-951	109	
-751	-943	97	
-823	-927	79	
-951	-887	-23	
-927	-623	-173	
-759	-247	-227	
-751	1	-189	
-799	121	-117	
-887	129	5	
-927	81	19	
-911	73	31	
-863	113	61	
-783	145	87	
-703	161	103	
-647	177	117	
-639	121	133	
-655	65	143	
-687	-15	171	
-743	-95	157	
-751	-127	157	
-695	-175	179	
-623	-223	193	
-559	-359	215	
-519	-511	217	
-431	-727	209	
-551	-1151	45	
-631	-1095	53	
-727	-1095	13	
-743	-1039	-17	
-799	-1047	-31	
-775	-1063	-35	
-783	-1047	-9	
-639	-1151	29	
-631	-1191	33	
-783	-983	83	
-887	-695	131	
-807	-383	185	
-623	-215	231	
-535	-247	241	
-535	-239	243	
-519	-263	241	
-463	-215	243	
-455	-263	241	
-487	-311	237	
-527	-447	229	
-567	-551	231	
-463	-615	251	
-351	-847	247	
-279	-1015	213	
-343	-1199	131	
-279	-1191	133	
-95	-1255	113	
1	-1287	91	
-15	-1239	95	
-39	-1247	73	
-39	-1263	81	
-151	-1231	101	
-207	-1095	163	
-295	-1127	143	
-367	-1191	123	
-383	-1159	137	
-367	-1207	121	
-287	-1271	87	
-231	-1327	57	
-199	-1399	7	
-127	-1399	-25	
-95	-1391	-7	
49	-1375	-43	
81	-1343	-77	
137	-1279	-137	
113	-1143	-191	
57	-991	-243	
-119	-847	-269	
-359	-719	-269	
-511	-799	-249	
-591	-1015	-177	
-583	-1103	-137	
-527	-1207	-99	
-479	-1271	-71	
-439	-1319	-65	
-439	-1287	-67	
-511	-1239	-91	
-527	-1255	-75	
-503	-1255	-91	
-447	-1231	-145	
-319	-1191	-183	
-231	-1151	-195	
-127	-1191	-201	
-143	-1103	-221	
-119	-1015	-243	
-87	-895	-267	
-127	-703	-285	
-55	-535	-295	
-135	-471	-295	
-319	-551	-281	
-559	-583	-251	
-823	-751	-169	
-895	-975	-47	
-791	-1063	77	
-703	-1071	147	
-623	-1055	173	
-591	-1087	177	
-527	-1071	191	
-535	-1143	179	
-647	-1247	101	
-631	-1271	33	
-423	-1319	-71	
-215	-1303	-107	
17	-1279	-137	
177	-1175	-177	
241	-1095	-213	
273	-959	-241	
89	-1023	-239	
-103	-1159	-189	
-239	-1279	-109	
-343	-1343	-9	
-383	-1343	75	
-359	-1407	123	
-311	-1415	185	
-255	-1471	165	
-287	-1391	123	
-383	-1343	93	
-447	-1335	67	
-471	-1295	67	
-575	-1255	43	
-655	-1175	31	
-711	-1143	13	
-783	-1111	-27	
-671	-1119	-107	
-391	-1175	-173	
33	-1231	-187	
97	-1175	-189	
-63	-1231	-165	
-359	-1175	-127	
-655	-1127	-33	
-767	-975	35	
-775	-855	93	
-735	-759	139	
-711	-703	155	
-751	-695	147	
-783	-759	131	
-815	-815	97	
-815	-919	51	
-743	-1039	-3	
-631	-1127	-81	
-431	-1199	-147	
-63	-1207	-181	
121	-1199	-175	
265	-1183	-179	
161	-1207	-171	
-207	-1239	-145	
